!GEAR.DAT - Gear data file - JW 960204 (Update from PM 960201)
!-------------------------------------------------------------
!A Few Notes:
!This file is an update of Paolo's Gear.Dat file, to include nearly all gear and
!other stuff I could find in various sourcebooks, both FASA-published and from
!the net. A small number of things are still omitted mainly because I just couldn't
!get myself to do absolutely _everything_ :) I added another category to the
!firearms, to show which accessories are included off-the-shelf with each weapon.
!Also, the cyberdecks and related equipment have *not* been updated to VR 2.0
!standards (yet).
!                                                                       -Gurth
! Types:
!-------
0-1|Edged weapon|7|Concealability|Reach|Damage|Weight|Availability|$Cost|Street Index|
0-2|Bow and crossbow|7|Concealability|Str.Min.|Damage|Weight|Availability|$Cost|Street Index|
0-3|Firearms|9|Concealability|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Accessories|
0-4|Rockets and Missiles|6|Intelligence|Damage|Weight|Availability|$Cost|Street Index|
0-5|Ammunition|6|Concealability|Damage|Weight|Availability|$Cost|Street Index|
0-6|Firearms Accessories|7|Mount|Concealability|Rating|Weight|Availability|$Cost|Street Index|
0-7|Explosives|6|Concealability|Rating|Weight|Availability|$Cost|Street Index|
0-8|Clothing and Armor|7|Concealability|Ballistic|Impact|Weight|Availability|$Cost|Street Index|
0-9|S+S Vision Enhancers|6|Concealability|Magnification|Weight|Availability|$Cost|Street Index|
0-10|Surveillance and Security|5|Concealability|Weight|Availability|$Cost|Street Index|
0-11|Cyberdecks|9|Persona|Hardening|Memory|Storage|Load|I/O|Availability|$Cost|Street Index|
0-12|Cyberdeck Other|3|Availability|$Cost|Street Index|
0-13|Biotech|5|Rating|Availability|Weight|$Cost|Street Index|
0-14|Lifestyle|5|Concealability|Weight|Availability|$Cost|Street Index|
0-15|Magical Equipment|3|Availability|$Cost|Street Index|
0-16|Extras|1|$Cost|
0-17|Cars|9|Handling|Speed|Body|Armor|Sig|Apilot|Availability|$Cost|Street Index|
0-18|Vehiclegear|3|Availability|$Cost|Street Index|
0-19|VehicleFire|8|Type|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|
0-20|Chips|6|Type|Rating|Memory|Availability|$Cost|Street Index|
0-21|Stuff With Ratings|6|Concealability|Rating|Weight|Availability|$Cost|Street Index|
0-22|Drugs|6|Addiction|Tolerance|Strength|Availability|$Cost|Street Index|
0-23|Vehicle modifications|3|$Cost|Equipment|CF|
!--------------------------------------------------------------------------------
!   1234567890123456789012345678901234567890123
1-Weapons
2-Melee weapons
3-Edged weapons
4-* Ares Monosword                 1|3|1|(STR+3)M|2|4/24hrs|1000|1|
3-* Large Net                      5|5|none|.75|8/48hrs|300|2|
3-* Small Net                      5|7|none|.5|6/48hrs|150|2|
2-* Spetsdod rounds (per round)
3-* DTox Spetsdod Round            5|8|3D|14/14days|GM|GM|
3-* ShokTox Spetsdod Round         5|8|6D Stun|4/48hrs|200|1|
3-* SPAZM Spetsdod Round           5|8|6D+Special|14/30days|GM|GM|
3-* Stinger Spetsdod Round         5|8|(see rules)|4/48hrs|100|1|
!
1-Explosives
2-Grenades
3-* Concussion Grenade             5|6|6M Stun|.25|5/4days|30|2|
3-* Concussion Grenade             5|7|10M Stun|.25|6/72hrs|40|1.2|
3-* Crawler Grenade                5|6|(see rules)|.25|20/14 days|150|6|
3-* CS Grenade                     5|5|tear gas|.5|6/4 days|75|2.5|
3-* Defensive AP Grenade           5|6|10D(f)|.25|4/4days|30|2|
3-* Defensive HE Grenade           5|6|10S|.25|4/4days|30|2|
3-* EMP Grenade                    5|6|(Special)|.3|10/10days|400|4|
3-* Explosive Grenade              5|7|6M|.25|6/72hrs|25|1.5|
3-* FEN Dz 22 "Saucer Grenade"     5|7|8S|.25|6/10days|65|3|
3-* Finger Bomb                    5|10|8M|.1|6/6days|35|1.5|
3-* Flash Grenade                  5|6|(Special)|.25|4/48hrs|40|1|
3-* Flash-Pak                      5|12|(Special)|.2|3/36hrs|250|1|
3-* Flashbang Grenade              5|6|12M Stun|.25|8/6days|80|2.25|
3-* Foam Grenade                   5|6|-|.25|3/48hrs|30|.9|
3-* Fragmentation mini-grenade     5|8|10D(f)|.1|8/4days|50|3|
3-* Gas Grenade                    5|5|Neuro-Stun VIII|.5|5/4days|60|2|
3-* GPz-78 Grenade                 5|8|8M|.1|4/60hrs|40|1.5|
3-* Green Ring 4 Grenade           5|6|gas|.25|10/6 days|80|2.5|
3-* HEP (High-Explosive Cratering) 5|8|10S (see rules)|.1|9/5days|60|2.5|
3-* Incendiary Grenade             5|6|10M/10L|.25|10/8days|100|3|
3-* IPE Concussion Grenade         5|6|16M Stun|.25|5/4days|70|2|
3-* IPE Defensive AP Grenade       5|6|15D(f)|.25|5/4days|50|2|
3-* IPE Defensive HE Grenade       5|6|15S|.25|5/4days|50|2|
3-* IPE Offensive AP Grenade       5|6|15D(f)|.25|5/4days|50|2|
3-* IPE Offensive HE Grenade       5|6|15S|.25|5/4days|50|2|
3-* Mace XII Gas Grenade           5|6|gas|.25|8/6days|50|2|
3-* Militech PDU-3                 5|8|10S|.25|10/7days|150|2.5|
3-* Motion Restraints Grenade      5|6|-|.5|6/48hrs|60|2|
3-* Neurostun IX Grenade           5|6|gas|.25|6/6days|50|2|
3-* Niref D Gas Grenade            5|6|gas|.25|10/6days|80|2|
3-* Offensive AP Grenade           5|6|10D(f)|.25|4/4days|30|2|
3-* Offensive HE Grenade           5|6|10S|.25|4/4days|30|2|
3-* Paint Grenade                  5|6|-|.25|3/48hrs|20|2|
3-* Scatter Grenade                5|6|per charge|.25|3/48hrs|70|1.5|CB2 p.49
3-* Smoke Grenade                  5|6|-|.25|3/24hrs|30|2|
3-* Smoke (IR) Grenade             5|6|-|.25|4/48hrs|40|2|
3-* Spraypaint Grenade             5|6|-|.25|2/3days|20|.9|
3-* Stench Bomb                    5|6|-|.25|3/48hrs|20|.8|
3-* Thermal Smoke                  5|6|-|.25|5/4days|40|2|
3-* White Phosphorus Grenade       5|6|14M/10L|.25|6/5days|120|3|
2-Mini grenades (for grenade launchers)
3-* Anti-Armor Minigrenade         5|8|10S|.1|8/5days|125|3.5|
3-* Anti-Personnel Flechette       5|8|10D(f)|.1|9/14days|100|3.5|
3-* Concussion Minigrenade         5|8|10M Stun|.1|7/4days|60|3|
3-* Defensive AP Minigrenade       5|8|10D(f)|.1|6/4days|60|3|
3-* Defensive HE Minigrenade       5|8|10S|.1|6/4days|60|3|
3-* Flash Minigrenade              5|8|(Special)|.1|6/48hrs|80|2|
3-* Gas Minigrenade                5|8|gas|.1|10/6days|100|2|
3-* Green Ring 4 Minigrenade       5|8|gas|.1|14/6days|120|3|
3-* IPE Concussion Minigrenade     5|8|16M Stun|.1|7/4days|140|3|
3-* IPE Defensive AP Minigrenade   5|8|15D(f)|.1|6/4days|100|3|
3-* IPE Defensive HE Minigrenade   5|8|15S|.1|6/4days|100|3|
3-* IPE Offensive AP Minigrenade   5|8|15D(f)|.1|6/4days|100|3|
3-* IPE Offensive HE Minigrenade   5|8|15S|.1|6/4days|100|3|
3-* Smoke Minigrenade              5|8|-|.1|5/24hrs|60|3|
3-* Smoke (IR) Minigrenade         5|8|-|.1|8/48hrs|80|3|
3-* Neurostun-Minigrenade          5|8|8M + gas|.15|12/4ays|200|3|
3-* Offensive AP Minigrenade       5|8|10D(f)|.1|6/4days|60|3|
3-* Offensive HE Minigrenade       5|8|10S|.1|6/4days|60|3|
3-* SplatShell Minigrenade         5|8|splatballs|.1|6/48hrs|10|1|
3-* Tränengas-Minigranate          5|8|8M|.15|4/24hrs|50|1.5|
2-Rifle grenades
3-* Anti-Tank                      5|4|16D|.5|8/8 days|100|2|
3-* Concussion                     5|4|12M Stun|.5|8/8 days|50|2|
3-* Defensive                      5|4|10S|.5|8/8 days|50|2|
3-* Offensive                      5|4|10S|.5|8/8 days|50|2|
2-Shotgun Minigrenades (Shotgun only)
3-* Concussion Shotgun Grenade     5|8|10M|.2|7/4 days|600|3|
3-* Defensive Shotgun Grenade      5|8|8S|.2|6/4 days|600|3|
3-* Offensive Shotgun Grenade      5|8|8S|.2|6/4 days|600|3|
3-* Smoke                          5|6|-|.25|4/4 days|30|2|
2-Mikrogranate (for Wirtz "DemoControl")
3-* Defensive Mikrogrenade         5|9|10S|.1|6/36hrs|80|1.5|
3-* Offensive Mikrogrenade         5|9|10S|.1|6/36hrs|80|1.5|
3-* Schock Mikrogrenade            5|9|12M Stun|.1|8/36hrs|80|1.5|
2-Militech 25mm pistol-grenades
3-* Concussion Pistol Grenade      5|8|8M Stun|.1|5/6 days|15|2|
3-* Defensive Frag Pistol Grenade  5|8|6M|.1|5/7 days|20|2|
3-* Flash Bomb Pistol Grenade      5|8|4L|.1|4/72hrs|15|1.2|
3-* HEP (Cratering) Pistol Grenade 5|8|(see rules)|.1|4/6 days|30|1.5|
3-* Incendiary Pistol Grenade      5|8|6M|.1|8/7 days|30|2|
3-* Offensive Frag Pistol Grenade  5|8|6S|.1|5/7 days|25|2|
3-* Smoke/Tear Gas Pistol Grenade  5|8|gas|.1|6/7 days|20|2.5|
2-Light recoilless rifle grenades
3-* Anti-Armor LRR Grenade         5|5|12D|3|5/36hrs|200|3|
3-* Anti-Personnel LRR Grenade     5|5|12S(f)|3|5/36hrs|150|3|
3-* High Explosive LRR Grenade     5|5|12S|3|5/36hrs|150|3|
3-* Smoke LRR Grenade              5|5|-|2.5|4/36hrs|125|2.5|
2-Heavy recoilless rifle grenades
3-* Anti-Armor HRR Grenade         5|5|18D|3|5/36hrs|200|3|
3-* Anti-Personnel HRR Grenade     5|5|18D(f)|3|5/36hrs|150|3|
3-* High Explosive HRR Grenade     5|5|18S|3|5/36hrs|150|3|
3-* Smoke HRR Grenade              5|5|-|2.5|4/36hrs|125|2.5|
2-Mines
3-* Anti-Personnel Mine            5|4|7D(f)|.25|10/7days|40|3|
3-* Anti-Personnel Mine            5|6/18|6D|.25|14/10days|50|4|
3-* Antitank Mine                  5|4|14D|.5|10/7days|40|3|
3-* Claymore                       5|4|10D/10S|1.5|8/6days|175|3|
3-* Directional A-P Mine           5|4|8D(f)/8S|.5|10/7days|100|3|
3-* Explosive-Tipped Spike         5|10|2D|.1|8/10days|5|2|
3-* Thermite Limpet Mine           5|8|10S|.25|9/7days|80|2.5|
2-Commercial explosives per kilo
3-* Commercial Explosive           7|6|3|1|6/48hrs|60|1|
3-* Detcord (per 10 meters)        7|6|6|5|10/48hrs|900|1.5|
3-* FEN Dz 25 "Det Card"           7|10|4|.02|8/5days|120|4|
3-* Plastic, Compound IV           7|6|6|1|8/48hrs|80|1|
3-* Plastic, Compound XII          7|6|12|1|10/48hrs|250|2|
3-* Radio Detonator                7|8|-|.25|4/48hrs|250|2|
3-* Shaped Charge                  7|4|15D|1|12/48hrs|500|2.5|
3-* Timer                          7|6|-|.5|4/48hrs|100|2|
!
1-Clothing and armor
2-Clothing
3-* Ordinary Clothing              8|-|-|-|1|Always|50|.8|
3-* Fine Clothing                  8|-|-|-|1|Always|500|1|
3-* Tres Chic Clothing             8|-|-|-|1|Always|1000|1|
2-Leather
3-* Heavy Leather(Jacket or Pants) 8|-|-|2|1|always|750|.75|
3-* Real Leather                   8|-|-|2|1|Always|750|.75|
3-* Synthetic Leather              8|-|-|1|1|Always|250|.6|
2-Armor clothing
3-* Arasaka Jetsetter Briefcase    8|-|3|3|4.5|4/36hrs|2000|1.2|
3-* Armor Clothing                 8|10|3|-|2|3/36hrs|500|1|
3-* Armor Jacket                   8|6|5|3|2|3/36hrs|900|.75|
3-* Armored Stockings              8|15|+1|0|-|6/72hrs|110|1.1|
3-* Armor Street Clothes Type 1    8|12|3|1|1.5|3/24hrs|500|.8|
3-* Armor Street Clothes Type 2    8|12|2|2|1.5|3/24hrs|500|.8|
3-* Armor Vest                     8|12|2|1|1|2/36hrs|200|.8|
3-* Forearm Guards                 8|12|-|1|.2|5/36hrs|250|.75|
3-* Kevlar Armor Jacket, Light     8|8|3|2|1|2/36hrs|600|.8|
3-* Kevlar Armor Jacket, Medium    8|6|4|3|1.5|3/36hrs|800|.8|
3-* Kevlar Armor Jacket, Heavy     8|5|5|4|2|3/36hrs|1000|.8|
3-* Kevlar T-Shirt/Vest            8|11|2|0|1|4/48hrs|220|2|
3-* Lined Coat                     8|8|4|2|1|2/24hrs|700|.75|
3-* Secure Clothing                8|12|3|-|1.5|3/36hrs|450|.9|
3-* Secure Jacket                  8|9|5|3|3|4/36hrs|850|.8|
3-* Secure Vest                    8|15|2|1|.75|3/36hrs|175|.9|
3-* Secure Ultra-Vest              8|14|4|3|2.5|3/36hrs|350|.9|
3-* Secure Long Coat               8|10|4|2|2|3/24hrs|650|.9|
3-* Vest with Plates               8|10|4|3|2|3/36hrs|600|1|
2-Armanté
3-* Armanté "Ancien" Shawl         8|14|1|0|.3|2/48hrs|750|.75|
3-* Armanté "Executive Suite" Tux  8|12|3|1|1|4/48hrs|1100|.75|
3-* Armanté "London Fog" Cloak     8|12|2|2|1|4/48hrs|600|.75|
3-* Armanté "Starlight" Dress      8|13|1|1|.75|2/48hrs|4500|.75|
3-* Armanté "Tokyo" Business Suit  8|13|2|1|1|3/48hrs|1000|.75|
3-* Armanté "Venetian" Dress       8|14|1|0|.5|2/48hrs|3500|.75|
2-Eji of Japan
3-* Eji Armored Cloak              8|14|2|1|1.5|always|500|.75|
3-* Eji Designer's Jeans           8|-|0|0|1|always|50|.75|
3-* Eji Lamb's Wool Sweater        8|-|0|0|1|always|60|.75|
2-Gibson Battlegear
3-* Gibson Acid-washed Jeans       8|10|2|1|1|4/48hrs|300|1|
3-* Gibson Denim Jacket            8|9|2|1|1|4/48hrs|1500|1|
3-* Gibson T-Shirt                 8|10|1|0|.5|4/48hrs|100|1|
3-* Gibson Sneak Suit Helmet       8|-|+1|+0|1.5|10/5days|1185|2.5|
3-* Gibson Sneak Suit Diving Suit  8|+4|0|0|2|12/7days|35000|3.5|
3-* Gibson Sneak Suit Flak Vest    8|+2|2|1|1.5|8/5days|1375|2|
3-* Gibson Sneak Suit Sneak Suit   8|+4|1|0|1|8/5days|1560|3|
3-* Gibson Sneak Suit Space Suit   8|+4|1|1|10|14/7days|25000|4.5|
2-ICON America
3-* ICON Bomber Jacket             8|-|0|2|1.5|always|900|.9|
3-* ICON Boots                     8|-|0|0|1|always|450|.8|
3-* ICON Gun Belt                  8|-|0|0|.25|3/24hrs|180|.9|
3-* ICON "Gunfighter" Hat          8|-|0|0|.5|always|300|.8|
3-* ICON Half Boots                8|-|0|0|.75|always|300|.8|
3-* ICON Long Duster               8|-|0|1|1.5|always|1500|.8|
3-* ICON Long Skirt                8|-|0|0|1|always|600|.8|
3-* ICON Miniskirt                 8|-|0|0|.5|always|300|.8|
3-* ICON Pants                     8|-|0|0|1|always|750|.8|
3-* ICON Tunic                     8|-|0|1|1|always|660|.8|
2-Masetto Tech Clothing
3-* Masetto 'Alessio' Coveralls    8|-|-|-|-|always|200|1|
3-* Masetto 'Ciampolo' Gloves      8|-|-|-|-|always|40|1|
3-* Masetto 'Gianni' Helmet        8|-|-|+1|1|4/48hrs|3,500|2|
3-* Masetto 'Guercio' Helmet       8|-|-|+1|1|3/48hrs|600|2|
3-* Masetto 'Lano' Coveralls       8|6|3|2|1|always|1600|1|
3-* Masetto 'Pinamonte' Boots      8|-|-|-|-|always|50|1|
2-Mortimer of London
3-* Mortimer "Greatcoat"           8|11|4|2|3|6/48hrs|1000|.75|
2-Nu-Tek Wearman series
3-* Nu-Tek Wearment Jacket         8|-|0|0|1|3/48hrs|300|.9|
3-* Nu-Tek Wearman Skirt           8|-|0|0|.75|3/48hrs|200|.9|
2-Takanaka Exec Line
3-* Takanaka Exec Briefcase        8|-|0|0|1.5|5/72hrs|600|.8|
3-* Takanaka Exec Cape             8|-|0|0|1.5|6/72hrs|900|.9|
3-* Takanaka Exec Cologne          8|-|-|-|-|6/72hrs|150|.9|
3-* Takanaka Exec Cravat           8|-|0|0|.5|6/72hrs|100|.9|
3-* Takanaka Exec Armored Topcoat  8|10|4|1|2.5|8/72hrs|2000|.9|
3-* Takanaka Exec Jacket           8|-|0|0|1|6/72hrs|800|.9|
3-* Takanaka Exec Monogram Shirt   8|-|0|0|.75|7/72hrs|200|1.1|
3-* Takanaka Exec Opera Cloak      8|10|3|1|2.5|8/72hrs|1200|.9|
3-* Takanaka Exec Pants            8|-|0|0|1|6/72hrs|700|.9|
3-* Takanaka Exec Scarf            8|-|0|0|.25|6/72hrs|75|.9|
3-* Takanaka Exec Sword Case       8|-|-|-|.5|8/72hrs|300|1|
3-* Takanaka Exec Tie              8|-|0|0|-|6/72hrs|100|.9|
3-* Takanaka Exec Top Coat         8|-|0|0|1.5|6/72hrs|1000|.9|
3-* Takanaka Exec Vest             8|-|0|0|.75|6/72hrs|500|.9|
2-Uniware
3-* Uniware Armored Jacket         8|7|3|2|1.5|10/4days|800|1.3|
3-* Uniware Armored Trenchcoat     8|7|4|3|2|10/4days|900|1.3|
3-* Uniware Blouse/Shirt           8|-|0|0|.75|8/4days|40|1.2|
3-* Uniware Boots                  8|-|0|0|1|4/4days|60|1.2|
3-* Uniware Dress                  8|-|0|0|1.5|6/4days|100|1.2|
3-* Uniware Jumpsuit               8|-|0|0|1.5|8/4days|150|1.2|
3-* Uniware Legpads                8|8|2|2|1.5|9/4days|300|1.3|
3-* Uniware Pants                  8|-|0|0|1|8/4days|70|1.2|
3-* Uniware Skirt                  8|-|0|0|.75|8/4days|70|1.2|
3-* Uniware Torso Armor            8|8|2|2|2|10/4days|300|1.3|
3-* Uniware Utility Belt           8|-|0|0|.5|5/4days|30|1.1|
3-* Uniware Vest                   8|-|0|0|.5|8/4days|50|1.2|
2-Vashon Island
3-* Vashon Island Houndstooth Set  8|varies|varies|varies|varies|6/48hrs|2000|.75|
3-* Vashon Island Hunt Ball Set    8|varies|varies|varies|varies|5/48hrs|3000|.75|
2-Zoé
3-* Zoé "Country Club" Blazer      8|13|3|1|1|4/48hrs|2000|.75|
3-* Zoé "Highland Laird" Kilt      8|14|4|2|1.5|6/48hrs|2000|.75|
3-* Zoé "Retrovision" Skirt Suit   8|13|3|1|1.5|4/48hrs|2500|.75|
2-Camouflage
3-* Full Suit                      8|-|3|1|-|4/36hrs|800|1|
3-* Jacket                         8|-|5|3|-|5/36hrs|1200|1|
2-Form-fitting body armor
3-* Form-fitting Armor Lvl 1       8|-|2|-|.75|3/48hrs|150|1|
3-* Form-fitting Armor Lvl 2       8|15|3|1|1.25|4/48hrs|250|1|
3-* Form-fitting Armor Lvl 3       8|12|4|1|1.75|4/48hrs|500|1|
2-Fireproof/fire-resistant clothing
3-* Fireproof Coat                 8|8|0|2|1|4/48hrs|220|2|
3-* Fireproof Jacket               8|8|0|2|1|4/48hrs|200|2|
3-* Fireproof Shirt                8|8|0|1|.5|4/48hrs|130|2|
3-* Fireproof Hat                  8|8|0|1|-|4/48hrs|130|2|
3-* Fireproof Skirt                8|8|0|1|1|4/48hrs|150|2|
3-* Fireproof Pants                8|8|0|2|1.5|4/48hrs|150|2|
3-* Fireproof Overcoat             8|8|0|2|2|4/48hrs|500|2|
3-* Fireproof Suit                 8|4|(Special)|(Special)|3|6/72hrs|500|2.5|
3-* Fire-Resistant Coveralls       8|10|0|3|3.5|10/48hrs|2000|1|
2-Combat Biker body armor
3-* Light Combat Biker Armor       8|-|3|2|1.25|4/48hrs|900|1|
3-* Heavy Combat Biker Armor       8|-|6|5|2.75|4/48hrs|1200|1|
3-* Combat Bikr Helmet             8|-|+1|+1|.5|5/48hrs|600|2|
2-Urban Brawl body armor
3-* Light Urban Brawl Armor        8|-|3|2|1.25|4/48hrs|700|1|
3-* Medium Urban Brawl Armor       8|-|4|3|1.5|4/48hrs|750|1|
3-* Heavy Urban Brawl Armor        8|-|6|4|2.5|4/48hrs|1000|1|
3-* Urban Brawl Helmet             8|-|+1|+1|.5|5/48hrs|600|1|
2-Heavy armor
3-* Battle Vest                    8|7|0|0|1|5/3days|750|1.75|
3-* Doorgunner's Vest              8|-|6|4|12|9/8days|7500|1.9|
3-* Flack Vest                     8|-|4|4|2|6/4days|1000|1|
3-* Full Suit                      8|-|8|6|(15+BODY)|16/14days|20000|3|
3-* Helmet                         8|-|+1|+1|0|12/14days|200|1.5|
3-* Helmet, Nylon                  8|-|+1|+1|0|12/14days|200|1.5|
3-* Helmet, Steel                  8|-|+1|+2|0|14/14days|250|1.75|
3-* MedicGear Combat Medical Armor 8|5|3|1|4|10/14days|3400|2|
3-* Partial Suit                   8|-|6|4|(10+BODY)|8/10days|10000|2|
2-Kelmar Police Armor
3-* Kelmar Light Police Armor      8|2|3|5|2.5|20/14days|10000|3|
3-* Kelmar Heavy Police Armor      8|1|5|7|4|24/20days|12500|3.5|
3-* Kelmar Police Helmet           8|-|+0|+1|.75|20/14days|2000|3.5|
2-Security armor
3-* Light Security Armor           8|-|6|4|(9+BODY)|12/10days|7500|2|
3-* Medium Security Armor          8|-|6|5|(11+BODY)|14/10days|9000|2.5|
3-* Heavy Security Armor           8|-|7|5|(13+BODY)|16/14days|12000|3|
3-* Security Helmet                8|-|+1|+2|0|12/14days|250|2|
3-* Riot Shield, Small             8|-|1|-|2|8/14hrs|1500|2|
3-* Riot Shield, Large             8|-|2|-|3|-|3200|-|
2-Military grade armor
3-* Light Military Armor           8|-|10|7|(12+BODY)|18/1mth|25000|3|
3-* Medium Military Armor          8|-|12|8|(14+BODY)|24/1mth|45000|3|
3-* Heavy Military Armor           8|-|14|9|(16+BODY)|28/1mth|70000|3|
3-* Military Helmet                8|-|+2|+3|3|24/1mth|2500|3|
2-MetalGear
3-* MetalGear Arm Piece            8|2|1.5|1.25|2|10/7days|2000|3|
3-* MetalGear Helmet               8|2|1.5|1.25|2|10/7days|2000|3|
3-* MetalGear Leg Piece            8|2|1.5|1.25|2|10/7days|2000|3|
3-* MetalGear Torso Piece          8|2|1.5|1.25|2|10/7days|2000|3|
2-Special clothing and armor
3-* Diving Suit                    8|-|2|1|10|10/10 days|6,000|3|
3-* Esporma Environment Suit       8|1|2|1|5|6/4days|7250|3|
3-* "Ghostsuit"                    8|+4|2|1|3|6/14days|53000|8|
3-* "Ghostsuit" Helmet             8|-|+1|+0|1.5|8/14days|6000|8|
3-* IR Combat Cloak                8|+4/+2|-|-|2|6/48hrs|450|2|
3-* Kevlar Blanket                 8|-|2|-|-|always|500|1|
3-* Medieval Armor (Maximillian)   8|-|3|4|14|10/4days|10600|1|
3-* Medieval Armor (Standard)      8|-|2|3|10|8/48hrs|3500|1|
3-* Military Chemsuit              8|-|-|-|BODY x1.5|18/14days|15000|2|
3-* "Mirage Gear" Combat Helmet    8|-|+1|+0|1|9/4days|700|2.5|
3-* "Mirage Gear" Flak Vest        8|-|2|1|1.5|7/4days|1275|2.5|
3-* "Mirage Gear"                  8|+2|1|0|1.5|5/48hrs|1050|3|
3-* Shadow Suit                    8|12|4|1|1.5|6/48hrs|800|1|
3-* Sneak Suit                     8|+4|0|0|2|8/14days|50000|7.5|
3-* Thermal Regulation Suit        8|14|-|-|2|6/48hrs|8000|2|
!
1-Lifestyle
2-Living costs
3-* Street Lifestyle               16|0|
3-* Squatter Lifestyle             16|100|
3-* Lower Lifestyle                16|1000|
3-* Middle Lifestyle               16|5000|
3-* High Lifestyle                 16|10000|
3-* Luxury Lifestyle               16|100000|
3-* IEC Domitic System (per m²)    14|-|-|2/48hrs|2D6x50|-|
2-General
3-* Autotanner                     14|3|1|always|200|.9|
3-* Bar-In-A-Briefcase             14|3|5|6/36hrs|100|.75|
3-* Biotech Nutrisupplement        14|-|.5|always|10|.8|
3-* Biotech Nymph Perfume          14|-|-|always|200|.9|
3-* Boyo Bodyfree Masks            14|8|-|-|600|1|
3-* DDI PrayerWare                 14|7|-|on payment|120|-|
3-* Everest Climbing Spikes        14|3|-|2/24hrs|75|1|
3-* Flavored Cigarettes            14|-|-|always|2|.8|
3-* Flare Compensation Sunglasses  14|12|.1|5/24hrs|2000|1.5|
3-* Folding Pocket Binoculars      14|8|-|always|50|1|
3-* Shower-In-A-Can                14|8|.5|2/12hrs|3|1|
3-* Skunker                        14|7|.25|5/60hrs|70|1.3|
3-* Slosh Bag                      14|2|2|4/72hrs|65|1|
3-* Smartgun Sunglasses            14|12|.1|4/24hrs|1950|1|
3-* Swiss Army Knife               14|-|-|always|30|1|
3-* Thermographic Sunglasses       14|12|.1|4/24hrs|2600|1.25|
3-* Temperfoam Furniture           14|-|varies|2/24hrs|140|.5|
3-* Travel Kit                     14|3|5|always|500|1|
3-* "Small Wonders" NanoAgents     14|-|-|4/60hrs|500|2|
2-Entertainment
3-General
4-* Mindscape Cyberholo Art Imager 14|-|-|always|6000|1|
4-* Newsviewer                     14|4|.1|3/36hrs|100|1|
4-* Desktop Holotank               14|-|15|4/48hrs|1000|1.2|
4-* Holotank                       14|-|100|5/48hrs|5000|1.2|
4-* Tabletop Holotank              14|-|5|4/48hrs|500|1.2|
3-Music
4-* Music: Disk/Chip               14|8|-|Always|20|.75|
4-* Music: Playback Unit           14|3|2|Always|200|.75|
4-* Music: Quad Speakers           14|-|-|Always|100|.75|
4-* DPI Black Box Backup Synthamp  14|4|3|6/48hrs|8000|1.3|
4-* DPI Black Box Datachips        14|-|-|6/48hrs|100|1.3|
4-* DPI Body Rythm Dance Bracelets 14|-|-|always|400|1|
4-* DPI Drumsticks                 14|4|.25|3/36hrs|800|1|
4-* Washburn Soundmachine Guitar   14|-|3.5|5/60hrs|1000|1|
4-* Yamaha RX4000 Ultrasynth       14|-|-|always|9380|1|
3-Rush Virtual Entertainment System
4-* Basic Rush System              14|3|4.5|always|500|.8|
4-* Rush Multi-player Adaptor      14|-|-|always|100|.6|
4-* Rush Total Environment         14|-|.75|always|1000|.8|
4-* Video Wall                     14|-|5|always|3500|1|
4-* Rush Virtual Villains          14|-|-|always|150|.9|
3-Simsense decks
4-* Simsense Player Unit           14|3|3|always|350|.75|
4-* Simsense Program Chip          14|8|-|always|50|.75|
4-* Simsense Portable Recorder     14|-|5|7/7days|50000|2|
4-* Fuchi Dreamliner               14|2|5.5|always|2500|1|
4-* Fuchi RealSense MasterSim      14|-|12|8/1week|125000|3|
4-* Sony Beautiful Dreamer         14|3|3|always|200|1|
4-* Sony Beautiful Dreamer II      14|2|5|always|1800|1|
4-* Truman Dreambox                14|3|3|always|350|.75|
4-* Truman Paradiso                14|-|6|4/36hrs|75000|1|
3-Simsense recordings (per minute)
4-* Cheap Baseline ACT Recording   14|10|-|always|1|.75|
4-* Average Baseline ACT Recording 14|10|-|always|3|.75|
4-* High-Quality Baseline ACT Rec. 14|10|-|always|2.5|.75|
4-* Current Hit Baseline ACT Rec.  14|10|-|always|3|.75|
4-* Average Baseline Dir-X Rec.    14|10|-|always|90|.75|
4-* HighQuality Baseline Dir-X Rec 14|10|-|always|100|.75|
4-* Current Hit Baseline Dir-X Rec 14|10|-|always|150|.75|
4-* Cheap Full-X ACT Recording     14|10|-|always|3|.75|
4-* Average Full-X ACT Recording   14|10|-|always|6|.75|
4-* High-Quality Full-X ACT Rec.   14|10|-|always|7.5|.75|
4-* Current Hit Full-X ACT Rec.    14|10|-|always|9|.75|
4-* Average Full-X Dir-X Recording 14|10|-|always|270|.75|
4-* HighQuality Full-X Dir-X Rec   14|10|-|always|300|.75|
4-* Current Hit Full-X Dir-X Rec   14|10|-|always|450|.75|
3-Video
4-* Video Disk/Chip                14|8|-|always|20|.75|
4-* Video Recorder Package         14|2|2|6/48hrs|1000|1.5|
4-* Video Screen                   14|-|3|always|150|.75|
4-* Video Transmission Unit        14|-|5|8/7days|4000|2|
2-Image Fasionware
3-* Heat-sensitive Color Changers  14|-|-|3/24hrs|120|1|
3-* Stars & Shapes                 14|-|-|2/24hrs|50|1|
3-* Trademarks & Logos             14|-|-|4/24hrs|100|1|
